Country,Subtopic,Status,Justification
Saint Vincent and the Grenadines (St Vincent and the Grenadines),Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Saint Vincent and the Grenadines (St Vincent and the Grenadines),Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Saint Vincent and the Grenadines (St Vincent and the Grenadines),Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Saint Vincent and the Grenadines (St Vincent and the Grenadines),Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Saint Vincent and the Grenadines (St Vincent and the Grenadines),Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Samoa,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Samoa,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Samoa,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Samoa,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Samoa,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Samoa,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Samoa,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Samoa,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
San Marino,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
San Marino,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
San Marino,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
San Marino,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
San Marino,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
San Marino,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
San Marino,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
San Marino,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
São Tomé and Príncipe,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
São Tomé and Príncipe,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
São Tomé and Príncipe,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
São Tomé and Príncipe,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
São Tomé and Príncipe,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
São Tomé and Príncipe,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
São Tomé and Príncipe,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
São Tomé and Príncipe,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Saudi Arabia,Scope of legislation,Legislation covers genetic resources (including microorganisms),"Legislation regulates natural resources as ""all living and non-living materials found in nature"". "
Saudi Arabia,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Saudi Arabia,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Saudi Arabia,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Saudi Arabia,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Saudi Arabia,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation
Saudi Arabia,Compliance,No ABS legislation identified,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Saudi Arabia,Legal sanctions,No ABS legislation identified,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Senegal,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Senegal,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Senegal,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Senegal,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Senegal,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Senegal,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Senegal,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Senegal,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Serbia,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Serbia,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Serbia,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Serbia,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Serbia,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Serbia,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Serbia,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Serbia,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Seychelles,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Seychelles,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Seychelles,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Seychelles,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Seychelles,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Seychelles,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Seychelles,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Seychelles,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sierra Leone,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sierra Leone,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Sierra Leone,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sierra Leone,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sierra Leone,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sierra Leone,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sierra Leone,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sierra Leone,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Singapore,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Singapore,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Singapore,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Singapore,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Singapore,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Singapore,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Singapore,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Singapore,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Slovakia,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Slovakia,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Slovakia,Access to resources,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Slovakia,Prior informed consent (PIC),Access is unrestricted,"There are no specified consent-seeking processes for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Slovakia,Contractual terms,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Slovakia,Benefit-sharing,Access is unrestricted,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Slovakia,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Slovakia,Legal sanctions,Fines and criminalization,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions."
Slovenia,Scope of legislation,No ABS legislation identified,The EU regulation applies to both genetic material and traditional knowledge associated with genetic material. However to date this has not yet been implemented in Lithuania.
Slovenia,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Slovenia,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Slovenia,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Slovenia,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Slovenia,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Slovenia,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Slovenia,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Solomon Islands,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Solomon Islands,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Solomon Islands,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Solomon Islands,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Solomon Islands,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Solomon Islands,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Solomon Islands,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Solomon Islands,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Somalia,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Somalia,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Somalia,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Somalia,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Somalia,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Somalia,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Somalia,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Somalia,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
South Africa,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
South Africa,Digital sequence information (DSI),DSI is included,"The biodiversity act amendment of 2013 defines ""genetic resource"" as ""genetic material or any genetic potential, characteristics, or information of any species"", thus including DSI."
South Africa,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
South Africa,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
South Africa,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
South Africa,Benefit-sharing,Access is restricted and benefit-sharing is mandated,The sharing of benefits is required in order to access genetic resources. Suggestions or guidance as to the nature of those benefits are provided.
South Africa,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
South Africa,Legal sanctions,Fines and criminalization,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions."
South Sudan,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
South Sudan,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
South Sudan,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
South Sudan,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
South Sudan,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
South Sudan,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
South Sudan,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
South Sudan,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Spain,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Spain,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Spain,Access to resources,Access is restricted,"Access to the resource within this territory is restricted, with exceptions made for certain circumstances such as health emergencies."
Spain,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Spain,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession. Extensive model contracts are provided."
Spain,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Spain,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Spain,Legal sanctions,Fines and criminalization,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. "
Sri Lanka,Scope of legislation,Legislation does not cover microorganisms,"There is legislation relevant to the protection of traditional knowledge, however legislation effectively covering genetic material is lacking."
Sri Lanka,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Sri Lanka,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sri Lanka,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sri Lanka,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sri Lanka,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sri Lanka,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sri Lanka,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
State of Palestine (Palestine; Palestinian Territories),Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
State of Palestine (Palestine; Palestinian Territories),Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
State of Palestine (Palestine; Palestinian Territories),Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
State of Palestine (Palestine; Palestinian Territories),Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
State of Palestine (Palestine; Palestinian Territories),Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
State of Palestine (Palestine; Palestinian Territories),Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
State of Palestine (Palestine; Palestinian Territories),Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
State of Palestine (Palestine; Palestinian Territories),Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sudan,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sudan,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Sudan,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sudan,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sudan,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sudan,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sudan,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sudan,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Suriname,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Suriname,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Suriname,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Suriname,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Suriname,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Suriname,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Suriname,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Suriname,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Sweden,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Sweden,Digital sequence information (DSI),DSI is explicitly excluded,"The EU and its member states consider that DSI is not equivalent to ""genetic resources"", and thus should not be subject to the same processes and restrictions. However they also consider that DSI may be viewed as the result of utilization of genetic resources, and as such may be subject to and limited by prearranged mutually agreed terms."
Sweden,Access to resources,Access is unrestricted,"There are no restrictions on access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Sweden,Prior informed consent (PIC),Access is unrestricted,"There are no specified consent-seeking processes for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Sweden,Contractual terms,Access is unrestricted,"There are no specified contract-setting requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Sweden,Benefit-sharing,Access is unrestricted,"There are no specified benefit-sharing requirements for access to genetic resources from this country. However when importing resources from elsewhere, local legal processes must have been adhered to and documented appropriately."
Sweden,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Sweden,Legal sanctions,Fines and criminalization,"Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions."
Switzerland,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Switzerland,Digital sequence information (DSI),DSI is explicitly excluded,"Domestic legislation do not explicitly cover DSI and thus are not immediately subject to benefit-sharing mechanisms. However, DSI use may still be restricted by Mutually Agreed Terms."
Switzerland,Access to resources,Access is restricted,"Access to the resource within this territory is restricted, with exceptions made for certain circumstances."
Switzerland,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Switzerland,Contractual terms,Access is restricted and contract is required,"The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Switzerland,Benefit-sharing,Access is restricted but benefit-sharing is not addressed,"While there is no prescribed benefit-sharing requirements in this country, the legislation establishes that this may be negotiated under the mutually agreed terms, and be complied with. "
Switzerland,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Switzerland,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Syrian Arab Republic (Syria),Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Syrian Arab Republic (Syria),Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Syrian Arab Republic (Syria),Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Syrian Arab Republic (Syria),Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Syrian Arab Republic (Syria),Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Syrian Arab Republic (Syria),Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Syrian Arab Republic (Syria),Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Syrian Arab Republic (Syria),Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tajikistan,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tajikistan,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Tajikistan,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tajikistan,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tajikistan,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tajikistan,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tajikistan,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tajikistan,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Thailand,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Thailand,Digital sequence information (DSI),DSI potentially included,"Thailand considers that the sharing of benefits incurred from the commercialization of ""information resulting from access of genetic resources"". This phrasing could be used to cover DSI."
Thailand,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Thailand,Prior informed consent (PIC),Access is restricted and PIC is required,The application process described includes provisions for seeking prior informed consent.
Thailand,Contractual terms,Access is restricted and contract is required,"Referred to as ""Agreements""The terms of access must be consolidated in written contract form. This may include the expected benefits to be shared, intellectual property rights, and duration of possession."
Thailand,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Thailand,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Thailand,Legal sanctions,No penalties specified,There are no substantive mentions of this subject in the available legislation
Timor-Leste,Scope of legislation,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Timor-Leste,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation
Timor-Leste,Access to resources,Access is restricted,Access to the resource within this territory is restricted and subject to preliminary processes.
Timor-Leste,Prior informed consent (PIC),Access is restricted and PIC is required,A prior informed consent process is required prior to accessing the requested resource.
Timor-Leste,Contractual terms,Access is restricted but contract requirements not addressed,There are no specified contract-setting mechanisms or processes in the available legislation.
Timor-Leste,Benefit-sharing,Access is restricted and benefit-sharing is mandated,"Equitable sharing of benefits derived from the accessed genetic resources is required, however there is no information as to the desired nature of those benefits."
Timor-Leste,Compliance,Compliance mechanisms in place in ABS legislation,"The legislation outlines monitoring mechanisms such as the appointment of officers charged with ensuring compliance to the law, and outlines the powers and procedures they have at their disposal to do so."
Timor-Leste,Legal sanctions,"""Fines, criminalization, and access restrictions""","Infringement of ABS rules is punishable with fines, imprisonment or other criminal law sanctions. Access restrictions such as confiscations of resources, termination of permits, or bans on future applications, may also be applied."
Togo,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Togo,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Togo,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Togo,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Togo,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Togo,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Togo,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Togo,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tonga,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tonga,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Tonga,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tonga,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tonga,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tonga,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tonga,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tonga,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Trinidad and Tobago,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Trinidad and Tobago,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Trinidad and Tobago,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Trinidad and Tobago,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Trinidad and Tobago,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Trinidad and Tobago,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Trinidad and Tobago,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Trinidad and Tobago,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tunisia,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tunisia,Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Tunisia,Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tunisia,Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tunisia,Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tunisia,Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tunisia,Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Tunisia,Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Türkiye (Turkey),Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Türkiye (Turkey),Digital sequence information (DSI),DSI is not addressed,There are no substantive mentions of this subject in the available legislation.
Türkiye (Turkey),Access to resources,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Türkiye (Turkey),Prior informed consent (PIC),No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Türkiye (Turkey),Contractual terms,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Türkiye (Turkey),Benefit-sharing,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Türkiye (Turkey),Compliance,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Türkiye (Turkey),Legal sanctions,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Turkmenistan,Scope of legislation,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
